Ville,Categorie,Difference de salaire (%)
Saint-Mitre-les-Remparts,Cadre,12.48
Saint-Mitre-les-Remparts,Profession,11.6
Saint-Mitre-les-Remparts,Employé,7.3
Saint-Mitre-les-Remparts,Ouvrier,16.81
Saint-Rémy-de-Provence,Cadre,4.03
Saint-Rémy-de-Provence,Profession,22.66
Saint-Rémy-de-Provence,Employé,.49
Saint-Rémy-de-Provence,Ouvrier,5.26
Saint-Savournin,Cadre,12.28
Saint-Savournin,Profession,7.28
Saint-Savournin,Employé,5.41
Saint-Savournin,Ouvrier,6.49
Saint-Victoret,Cadre,7.62
Saint-Victoret,Profession,14.29
Saint-Victoret,Employé,2.86
Saint-Victoret,Ouvrier,10.7
Salon-de-Provence,Cadre,12.61
Salon-de-Provence,Profession,9.28
Salon-de-Provence,Employé,4.81
Salon-de-Provence,Ouvrier,9.8
Sausset-les-Pins,Cadre,17.54
Sausset-les-Pins,Profession,6.1
Sausset-les-Pins,Employé,1.72
Sausset-les-Pins,Ouvrier,13.08
Sénas,Cadre,15.42
Sénas,Profession,8.11
Sénas,Employé,4.95
Sénas,Ouvrier,10.78
Septèmes-les-Vallons,Cadre,6.67
Septèmes-les-Vallons,Profession,9.28
Septèmes-les-Vallons,Employé,2.33
Septèmes-les-Vallons,Ouvrier,9.5
Simiane-Collongue,Cadre,14.11
Simiane-Collongue,Profession,7.95
Simiane-Collongue,Employé,5.41
Simiane-Collongue,Ouvrier,6.25
Tarascon,Cadre,15.1
Tarascon,Profession,12.27
Tarascon,Employé,2.08
Tarascon,Ouvrier,9.36
Le Tholonet,Cadre,35.25
Le Tholonet,Profession,7.19
Le Tholonet,Employé,.47
Le Tholonet,Ouvrier,5.83
Trets,Cadre,9.32
Trets,Profession,5.05
Trets,Employé,3.38
Trets,Ouvrier,7.55
Velaux,Cadre,15.56
Velaux,Profession,13.43
Velaux,Employé,7.56
Velaux,Ouvrier,12.56
Venelles,Cadre,12.9
Venelles,Profession,9.74
Venelles,Employé,2.7
Venelles,Ouvrier,2.75
Ventabren,Cadre,19.46
Ventabren,Profession,10.22
Ventabren,Employé,8.26
Ventabren,Ouvrier,10.19
Vitrolles,Cadre,11.59
Vitrolles,Profession,8.42
Vitrolles,Employé,4.67
Vitrolles,Ouvrier,11.11
Coudoux,Cadre,15.5
Coudoux,Profession,10.19
Coudoux,Employé,3.51
Coudoux,Ouvrier,11.82
Carnoux-en-Provence,Cadre,11.41
Carnoux-en-Provence,Profession,9.33
Carnoux-en-Provence,Employé,2.83
Carnoux-en-Provence,Ouvrier,8.06
Argences,Cadre,4.51
Argences,Profession,9.09
Argences,Employé,7.62
Argences,Ouvrier,4.19
Les Monts d'Aunay,Cadre,8.57
Les Monts d'Aunay,Profession,8.42
Les Monts d'Aunay,Employé,5.47
Les Monts d'Aunay,Ouvrier,2.73
Bayeux,Cadre,15.62
Bayeux,Profession,3.7
Bayeux,Employé,2.06
Bayeux,Ouvrier,7.94
Bénouville,Cadre,18.64
Bénouville,Profession,4.64
Bénouville,Employé,2.75
Bénouville,Ouvrier,5.99
Souleuvre en Bocage,Cadre,16.63
Souleuvre en Bocage,Profession,10.22
Souleuvre en Bocage,Employé,4.9
Souleuvre en Bocage,Ouvrier,5.71
Bernières-sur-Mer,Cadre,13.27
Bernières-sur-Mer,Profession,5.84
Bernières-sur-Mer,Employé,1.82
Bernières-sur-Mer,Ouvrier,3.35
Biéville-Beuville,Cadre,10.17
Biéville-Beuville,Profession,21.59
Biéville-Beuville,Employé,6.96
Biéville-Beuville,Ouvrier,9.86
Blainville-sur-Orne,Cadre,11.98
Blainville-sur-Orne,Profession,7.64
Blainville-sur-Orne,Employé,3.38
Blainville-sur-Orne,Ouvrier,5.21
Thue et Mue,Cadre,6.76
Thue et Mue,Profession,6.16
Thue et Mue,Employé,4.93
Thue et Mue,Ouvrier,4.63
Bretteville-sur-Odon,Cadre,8.47
Bretteville-sur-Odon,Profession,16.52
Bretteville-sur-Odon,Employé,11.21
Bretteville-sur-Odon,Ouvrier,9.9
Cabourg,Cadre,4.21
Cabourg,Profession,4.79
Cabourg,Employé,1.51
Cabourg,Ouvrier,3.81
Caen,Cadre,10.3
Caen,Profession,4.8
Caen,Employé,1.0
Caen,Ouvrier,7.85
Carpiquet,Cadre,4.89
Carpiquet,Profession,5.07
Carpiquet,Employé,9.25
Carpiquet,Ouvrier,8.74
Caumont-sur-Aure,Cadre,7.62
Caumont-sur-Aure,Profession,10.11
Caumont-sur-Aure,Employé,3.0
Caumont-sur-Aure,Ouvrier,7.25
Colleville-Montgomery,Cadre,12.34
Colleville-Montgomery,Profession,12.58
Colleville-Montgomery,Employé,1.8
Colleville-Montgomery,Ouvrier,3.86
Colombelles,Cadre,13.04
Colombelles,Profession,8.81
Colombelles,Employé,2.02
Colombelles,Ouvrier,5.88
Condé-en-Normandie,Cadre,.44
Condé-en-Normandie,Profession,6.14
Condé-en-Normandie,Employé,3.88
Condé-en-Normandie,Ouvrier,7.39
Cormelles-le-Royal,Cadre,12.94
Cormelles-le-Royal,Profession,4.73
Cormelles-le-Royal,Employé,2.44
Cormelles-le-Royal,Ouvrier,3.7
Courseulles-sur-Mer,Cadre,16.52
Courseulles-sur-Mer,Profession,7.85
Courseulles-sur-Mer,Employé,5.53
Courseulles-sur-Mer,Ouvrier,3.45
Creully sur Seulles,Cadre,16.54
Creully sur Seulles,Profession,2.11
Creully sur Seulles,Employé,6.73
Creully sur Seulles,Ouvrier,3.74
Cuverville,Cadre,10.0
Cuverville,Profession,7.75
Cuverville,Employé,.48
Cuverville,Ouvrier,7.21
Deauville,Cadre,31.7
Deauville,Profession,.0
Deauville,Employé,4.81
Deauville,Ouvrier,9.84
Démouville,Cadre,13.43
Démouville,Profession,5.04
Démouville,Employé,5.16
Démouville,Ouvrier,7.98
Dives-sur-Mer,Cadre,7.81
Dives-sur-Mer,Profession,7.92
Dives-sur-Mer,Employé,1.57
Dives-sur-Mer,Ouvrier,9.0
Douvres-la-Délivrande,Cadre,18.76
Douvres-la-Délivrande,Profession,3.7
Douvres-la-Délivrande,Employé,4.3
Douvres-la-Délivrande,Ouvrier,2.37
Dozulé,Cadre,10.68
Dozulé,Profession,.74
Dozulé,Employé,5.58
Dozulé,Ouvrier,8.38
Évrecy,Cadre,13.76
Évrecy,Profession,11.33
Évrecy,Employé,9.4
Évrecy,Ouvrier,4.11
Falaise,Cadre,7.69
Falaise,Profession,6.11
Falaise,Employé,3.03
Falaise,Ouvrier,9.29
Fleury-sur-Orne,Cadre,15.33
Fleury-sur-Orne,Profession,6.57
Fleury-sur-Orne,Employé,.0
Fleury-sur-Orne,Ouvrier,8.54
Fontaine-Étoupefour,Cadre,15.58
Fontaine-Étoupefour,Profession,8.67
Fontaine-Étoupefour,Employé,3.57
Fontaine-Étoupefour,Ouvrier,1.32
Giberville,Cadre,4.5
Giberville,Profession,4.23
Giberville,Employé,4.81
Giberville,Ouvrier,10.0
Hermanville-sur-Mer,Cadre,11.21
Hermanville-sur-Mer,Profession,5.19
Hermanville-sur-Mer,Employé,6.61
Hermanville-sur-Mer,Ouvrier,2.73
Hérouville-Saint-Clair,Cadre,10.23
Hérouville-Saint-Clair,Profession,3.91
Hérouville-Saint-Clair,Employé,2.54
Hérouville-Saint-Clair,Ouvrier,4.9
Honfleur,Cadre,14.29
Honfleur,Profession,13.73
Honfleur,Employé,2.51
Honfleur,Ouvrier,9.36
Ifs,Cadre,10.31
Ifs,Profession,5.71
Ifs,Employé,1.92
Ifs,Ouvrier,7.61
Isigny-sur-Mer,Cadre,17.51
Isigny-sur-Mer,Profession,7.75
Isigny-sur-Mer,Employé,3.74
Isigny-sur-Mer,Ouvrier,6.36
Lion-sur-Mer,Cadre,1.46
Lion-sur-Mer,Profession,5.72
Lion-sur-Mer,Employé,.48
Lion-sur-Mer,Ouvrier,12.75
Lisieux,Cadre,12.5
Lisieux,Profession,6.56
Lisieux,Employé,2.54
Lisieux,Ouvrier,6.12
Le Molay-Littry,Cadre,6.99
Le Molay-Littry,Profession,11.19
Le Molay-Littry,Employé,4.04
Le Molay-Littry,Ouvrier,6.67
Livarot-Pays-d'Auge,Cadre,6.56
Livarot-Pays-d'Auge,Profession,11.11
Livarot-Pays-d'Auge,Employé,4.9
Livarot-Pays-d'Auge,Ouvrier,5.31
Louvigny,Cadre,12.81
Louvigny,Profession,23.21
Louvigny,Employé,2.7
Louvigny,Ouvrier,8.29
Luc-sur-Mer,Cadre,10.79
Luc-sur-Mer,Profession,6.43
Luc-sur-Mer,Employé,2.42
Luc-sur-Mer,Ouvrier,8.91
Mathieu,Cadre,22.37
Mathieu,Profession,17.71
Mathieu,Employé,3.64
Mathieu,Ouvrier,13.39
Merville-Franceville-Plage,Cadre,15.79
Merville-Franceville-Plage,Profession,12.28
Merville-Franceville-Plage,Employé,4.95
Merville-Franceville-Plage,Ouvrier,12.26
Mézidon Vallée d'Auge,Cadre,7.98
Mézidon Vallée d'Auge,Profession,6.91
Mézidon Vallée d'Auge,Employé,5.42
Mézidon Vallée d'Auge,Ouvrier,4.72
Mondeville,Cadre,13.15
Mondeville,Profession,5.26
Mondeville,Employé,2.97
Mondeville,Ouvrier,5.37
Moult-Chicheboville,Cadre,5.62
Moult-Chicheboville,Profession,7.09
Moult-Chicheboville,Employé,6.6
Moult-Chicheboville,Ouvrier,2.73
Val d'Arry,Cadre,15.3
Val d'Arry,Profession,7.75
Val d'Arry,Employé,5.26
Val d'Arry,Ouvrier,6.73
Orbec,Cadre,16.63
Orbec,Profession,19.08
Orbec,Employé,1.03
Orbec,Ouvrier,4.72
Ouistreham,Cadre,7.88
Ouistreham,Profession,10.8
Ouistreham,Employé,1.48
Ouistreham,Ouvrier,4.23
Pont-l'Évêque,Cadre,6.88
Pont-l'Évêque,Profession,5.22
Pont-l'Évêque,Employé,2.94
Pont-l'Évêque,Ouvrier,9.09
Potigny,Cadre,8.8
Potigny,Profession,6.35
Potigny,Employé,3.52
Potigny,Ouvrier,3.35
La Rivière-Saint-Sauveur,Cadre,19.65
La Rivière-Saint-Sauveur,Profession,16.31
La Rivière-Saint-Sauveur,Employé,1.45
La Rivière-Saint-Sauveur,Ouvrier,11.31
Rots,Cadre,8.88
Rots,Profession,15.69
Rots,Employé,17.87
Rots,Ouvrier,1.41
Saint-Aubin-sur-Mer,Cadre,4.33
Saint-Aubin-sur-Mer,Profession,7.09
Saint-Aubin-sur-Mer,Employé,6.1
Saint-Aubin-sur-Mer,Ouvrier,8.37
Saint-Contest,Cadre,20.29
Saint-Contest,Profession,9.32
Saint-Contest,Employé,4.76
Saint-Contest,Ouvrier,10.9
Valorbiquet,Cadre,8.7
Valorbiquet,Profession,6.19
Valorbiquet,Employé,4.85
Valorbiquet,Ouvrier,5.66
Saint-Germain-la-Blanche-Herbe,Cadre,5.45
Saint-Germain-la-Blanche-Herbe,Profession,1.36
Saint-Germain-la-Blanche-Herbe,Employé,.96
Saint-Germain-la-Blanche-Herbe,Ouvrier,3.88
Saint-Martin-de-Fontenay,Cadre,5.31
Saint-Martin-de-Fontenay,Profession,9.35
Saint-Martin-de-Fontenay,Employé,6.73
Saint-Martin-de-Fontenay,Ouvrier,4.72
Saint-Pierre-en-Auge,Cadre,18.9
Saint-Pierre-en-Auge,Profession,6.14
Saint-Pierre-en-Auge,Employé,3.59
Saint-Pierre-en-Auge,Ouvrier,4.81
Noues de Sienne,Cadre,13.26
Noues de Sienne,Profession,7.3
Noues de Sienne,Employé,6.4
Noues de Sienne,Ouvrier,4.95
Saint-Vigor-le-Grand,Cadre,15.48
Saint-Vigor-le-Grand,Profession,6.12
Saint-Vigor-le-Grand,Employé,7.55
Saint-Vigor-le-Grand,Ouvrier,6.73
Soliers,Cadre,14.71
Soliers,Profession,14.64
Soliers,Employé,1.89
Soliers,Ouvrier,5.56
Le Hom,Cadre,4.95
Le Hom,Profession,5.38
Le Hom,Employé,2.88
Le Hom,Ouvrier,6.73
Touques,Cadre,19.26
Touques,Profession,4.93
Touques,Employé,.49
Touques,Ouvrier,5.7
Saline,Cadre,12.56
Saline,Profession,6.99
Saline,Employé,2.39
Saline,Ouvrier,6.16
Trouville-sur-Mer,Cadre,.37
Trouville-sur-Mer,Profession,9.46
Trouville-sur-Mer,Employé,3.41
Trouville-sur-Mer,Ouvrier,7.61
Valdallière,Cadre,13.54
Valdallière,Profession,8.42
Valdallière,Employé,5.58
Valdallière,Ouvrier,3.88
Verson,Cadre,13.02
Verson,Profession,5.38
Verson,Employé,4.27
Verson,Ouvrier,6.4
Villers-Bocage,Cadre,8.64
Villers-Bocage,Profession,4.96
Villers-Bocage,Employé,8.74
Villers-Bocage,Ouvrier,5.77
Villers-sur-Mer,Cadre,24.7
Villers-sur-Mer,Profession,3.11
Villers-sur-Mer,Employé,.97
Villers-sur-Mer,Ouvrier,5.88
Vire Normandie,Cadre,7.99
Vire Normandie,Profession,7.12
Vire Normandie,Employé,2.97
Vire Normandie,Ouvrier,5.47
Arpajon-sur-Cère,Cadre,11.68
Arpajon-sur-Cère,Profession,4.32
Arpajon-sur-Cère,Employé,6.1
Arpajon-sur-Cère,Ouvrier,3.0
Aurillac,Cadre,13.43
Aurillac,Profession,3.79
Aurillac,Employé,.5
Aurillac,Ouvrier,7.1
Jussac,Cadre,11.37
Jussac,Profession,5.19
Jussac,Employé,4.62
Jussac,Ouvrier,3.0
Mauriac,Cadre,25.74
Mauriac,Profession,4.28
Mauriac,Employé,5.15
Mauriac,Ouvrier,12.0
Maurs,Cadre,6.35
Maurs,Profession,4.8
Maurs,Employé,1.64
Maurs,Ouvrier,7.22
Riom-ès-Montagnes,Cadre,14.61
Riom-ès-Montagnes,Profession,7.35
Riom-ès-Montagnes,Employé,7.77
Riom-ès-Montagnes,Ouvrier,6.22
Saint-Flour,Cadre,16.39
Saint-Flour,Profession,11.52
Saint-Flour,Employé,3.0
Saint-Flour,Ouvrier,9.78
Ytrac,Cadre,14.95
Ytrac,Profession,4.69
Ytrac,Employé,3.85
Ytrac,Ouvrier,2.97
Angoulême,Cadre,11.82
Angoulême,Profession,3.79
Angoulême,Employé,.5
Angoulême,Ouvrier,4.57
Barbezieux-Saint-Hilaire,Cadre,10.75
Barbezieux-Saint-Hilaire,Profession,6.06
Barbezieux-Saint-Hilaire,Employé,4.9
Barbezieux-Saint-Hilaire,Ouvrier,5.94
Brie,Cadre,17.88
Brie,Profession,7.19
Brie,Employé,1.96
Brie,Ouvrier,3.23
Champniers,Cadre,13.48
Champniers,Profession,2.41
Champniers,Employé,2.78
Champniers,Ouvrier,5.99
Chasseneuil-sur-Bonnieure,Cadre,10.64
Chasseneuil-sur-Bonnieure,Profession,10.78
Chasseneuil-sur-Bonnieure,Employé,4.66
Chasseneuil-sur-Bonnieure,Ouvrier,10.0
Châteaubernard,Cadre,12.5
Châteaubernard,Profession,6.06
Châteaubernard,Employé,1.89
Châteaubernard,Ouvrier,10.19
Châteauneuf-sur-Charente,Cadre,20.37
Châteauneuf-sur-Charente,Profession,8.63
Châteauneuf-sur-Charente,Employé,3.38
Châteauneuf-sur-Charente,Ouvrier,4.31
Cherves-Richemont,Cadre,20.67
Cherves-Richemont,Profession,12.3
Cherves-Richemont,Employé,12.0
Cherves-Richemont,Ouvrier,6.96
Cognac,Cadre,14.29
Cognac,Profession,5.37
Cognac,Employé,.48
Cognac,Ouvrier,8.06
Confolens,Cadre,18.5
Confolens,Profession,6.23
Confolens,Employé,2.08
Confolens,Ouvrier,11.22
La Couronne,Cadre,17.73
La Couronne,Profession,3.23
La Couronne,Employé,4.43
La Couronne,Ouvrier,6.8
Fléac,Cadre,15.42
Fléac,Profession,7.32
Fléac,Employé,4.0
Fléac,Ouvrier,2.3
Garat,Cadre,12.06
Garat,Profession,9.52
Garat,Employé,.46
Garat,Ouvrier,5.02
Gond-Pontouvre,Cadre,9.05
Gond-Pontouvre,Profession,7.75
Gond-Pontouvre,Employé,4.72
Gond-Pontouvre,Ouvrier,5.47
L'Isle-d'Espagnac,Cadre,12.84
L'Isle-d'Espagnac,Profession,6.9
L'Isle-d'Espagnac,Employé,.0
L'Isle-d'Espagnac,Ouvrier,6.22
Jarnac,Cadre,15.49
Jarnac,Profession,4.11
Jarnac,Employé,2.94
Jarnac,Ouvrier,6.22
Linars,Cadre,8.1
Linars,Profession,10.8
Linars,Employé,1.48
Linars,Ouvrier,1.89
Terres-de-Haute-Charente,Cadre,9.09
Terres-de-Haute-Charente,Profession,6.82
Terres-de-Haute-Charente,Employé,2.06
Terres-de-Haute-Charente,Ouvrier,6.22
Magnac-sur-Touvre,Cadre,9.05
Magnac-sur-Touvre,Profession,3.89
Magnac-sur-Touvre,Employé,.92
Magnac-sur-Touvre,Ouvrier,7.84
Montbron,Cadre,22.2
Montbron,Profession,7.94
Montbron,Employé,7.92
Montbron,Ouvrier,1.94
Montmoreau,Cadre,2.17
Montmoreau,Profession,8.03
Montmoreau,Employé,6.22
Montmoreau,Ouvrier,6.0
Mornac,Cadre,5.26
Mornac,Profession,4.56
Mornac,Employé,.47
Mornac,Ouvrier,3.2
Mouthiers-sur-Boëme,Cadre,15.1
Mouthiers-sur-Boëme,Profession,12.28
Mouthiers-sur-Boëme,Employé,9.42
Mouthiers-sur-Boëme,Ouvrier,7.77
Nersac,Cadre,9.14
Nersac,Profession,7.75
Nersac,Employé,.47
Nersac,Ouvrier,3.74
Puymoyen,Cadre,8.95
Puymoyen,Profession,4.32
Puymoyen,Employé,2.26
Puymoyen,Ouvrier,4.15
La Rochefoucauld-en-Angoumois,Cadre,15.51
La Rochefoucauld-en-Angoumois,Profession,.72
La Rochefoucauld-en-Angoumois,Employé,2.06
La Rochefoucauld-en-Angoumois,Ouvrier,6.93
Rouillac,Cadre,16.89
Rouillac,Profession,7.25
Rouillac,Employé,2.49
Rouillac,Ouvrier,3.32
Roullet-Saint-Estèphe,Cadre,14.56
Roullet-Saint-Estèphe,Profession,8.96
Roullet-Saint-Estèphe,Employé,3.81
Roullet-Saint-Estèphe,Ouvrier,2.86
Ruelle-sur-Touvre,Cadre,12.47
Ruelle-sur-Touvre,Profession,5.96
Ruelle-sur-Touvre,Employé,3.81
Ruelle-sur-Touvre,Ouvrier,8.08
Ruffec,Cadre,7.04
Ruffec,Profession,8.87
Ruffec,Employé,1.05
Ruffec,Ouvrier,12.71
Saint-Yrieix-sur-Charente,Cadre,15.62
Saint-Yrieix-sur-Charente,Profession,6.4
Saint-Yrieix-sur-Charente,Employé,6.36
Saint-Yrieix-sur-Charente,Ouvrier,4.76
Segonzac,Cadre,21.23
Segonzac,Profession,12.08
Segonzac,Employé,7.14
Segonzac,Ouvrier,4.67
Soyaux,Cadre,14.35
Soyaux,Profession,5.11
Soyaux,Employé,1.46
Soyaux,Ouvrier,7.22
Vars,Cadre,17.21
Vars,Profession,5.22
Vars,Employé,4.35
Vars,Ouvrier,2.37
Aigrefeuille-d'Aunis,Cadre,12.83
Aigrefeuille-d'Aunis,Profession,6.23
Aigrefeuille-d'Aunis,Employé,2.33
Aigrefeuille-d'Aunis,Ouvrier,8.13
Andilly,Cadre,14.56
Andilly,Profession,4.81
Andilly,Employé,7.28
Andilly,Ouvrier,12.07
Angoulins,Cadre,14.22
Angoulins,Profession,7.74
Angoulins,Employé,7.76
Angoulins,Ouvrier,4.98
Arvert,Cadre,5.46
Arvert,Profession,5.0
Arvert,Employé,3.63
Arvert,Ouvrier,6.88
Aytré,Cadre,7.11
Aytré,Profession,5.93
Aytré,Employé,1.46
Aytré,Ouvrier,7.92
Le Bois-Plage-en-Ré,Cadre,22.38
Le Bois-Plage-en-Ré,Profession,1.81
Le Bois-Plage-en-Ré,Employé,.0
Le Bois-Plage-en-Ré,Ouvrier,11.33
Bourcefranc-le-Chapus,Cadre,8.35
Bourcefranc-le-Chapus,Profession,8.24
Bourcefranc-le-Chapus,Employé,1.03
Bourcefranc-le-Chapus,Ouvrier,.5
Breuillet,Cadre,7.48
Breuillet,Profession,9.46
Breuillet,Employé,3.84
Breuillet,Ouvrier,10.48
Chaniers,Cadre,8.64
Chaniers,Profession,3.6
Chaniers,Employé,6.42
Chaniers,Ouvrier,8.72
Le Château-d'Oléron,Cadre,16.42
Le Château-d'Oléron,Profession,4.48
Le Château-d'Oléron,Employé,.52
Le Château-d'Oléron,Ouvrier,5.05
Châtelaillon-Plage,Cadre,14.5
Châtelaillon-Plage,Profession,.68
Châtelaillon-Plage,Employé,.99
Châtelaillon-Plage,Ouvrier,15.38
Cozes,Cadre,3.9
Cozes,Profession,3.97
Cozes,Employé,4.0
Cozes,Ouvrier,9.74
Dolus-d'Oléron,Cadre,.41
Dolus-d'Oléron,Profession,5.06
Dolus-d'Oléron,Employé,3.55
Dolus-d'Oléron,Ouvrier,7.22
Dompierre-sur-Mer,Cadre,16.63
Dompierre-sur-Mer,Profession,8.42
Dompierre-sur-Mer,Employé,4.5
Dompierre-sur-Mer,Ouvrier,5.02
Échillais,Cadre,3.27
Échillais,Profession,5.67
Échillais,Employé,3.48
Échillais,Ouvrier,10.9
Esnandes,Cadre,16.14
Esnandes,Profession,7.74
Esnandes,Employé,3.29
Esnandes,Ouvrier,10.8
Étaules,Cadre,13.37
Étaules,Profession,8.36
Étaules,Employé,2.04
Étaules,Ouvrier,1.0
La Flotte,Cadre,8.54
La Flotte,Profession,7.17
La Flotte,Employé,3.41
La Flotte,Ouvrier,10.78
Fontcouverte,Cadre,19.57
Fontcouverte,Profession,7.27
Fontcouverte,Employé,5.02
Fontcouverte,Ouvrier,6.16
Fouras,Cadre,16.0
Fouras,Profession,2.51
Fouras,Employé,3.0
Fouras,Ouvrier,10.68
Gémozac,Cadre,11.89
Gémozac,Profession,6.32
Gémozac,Employé,.51
Gémozac,Ouvrier,9.78
Le Gua,Cadre,12.3
Le Gua,Profession,7.58
Le Gua,Employé,1.04
Le Gua,Ouvrier,10.73
L'Houmeau,Cadre,12.61
L'Houmeau,Profession,26.54
L'Houmeau,Employé,2.39
L'Houmeau,Ouvrier,12.15
La Jarne,Cadre,14.09
La Jarne,Profession,13.31
La Jarne,Employé,3.29
La Jarne,Ouvrier,10.78
La Jarrie,Cadre,16.22
La Jarrie,Profession,5.67
La Jarrie,Employé,3.26
La Jarrie,Ouvrier,2.68
Jonzac,Cadre,20.18
Jonzac,Profession,1.61
Jonzac,Employé,1.51
Jonzac,Ouvrier,9.71
Lagord,Cadre,9.79
Lagord,Profession,11.53
Lagord,Employé,4.93
Lagord,Ouvrier,9.43
Marans,Cadre,11.11
Marans,Profession,3.65
Marans,Employé,3.19
Marans,Ouvrier,3.29
Marennes-Hiers-Brouage,Cadre,14.89
Marennes-Hiers-Brouage,Profession,8.3
Marennes-Hiers-Brouage,Employé,1.04
Marennes-Hiers-Brouage,Ouvrier,8.9
Marsilly,Cadre,21.79
Marsilly,Profession,6.93
Marsilly,Employé,5.78
Marsilly,Ouvrier,6.98
Matha,Cadre,.0
Matha,Profession,14.0
Matha,Employé,2.44
Matha,Ouvrier,8.08
Médis,Cadre,5.59
Médis,Profession,4.35
Médis,Employé,.0
Médis,Ouvrier,2.39
Meschers-sur-Gironde,Cadre,10.66
Meschers-sur-Gironde,Profession,10.39
Meschers-sur-Gironde,Employé,3.0
Meschers-sur-Gironde,Ouvrier,5.71
Montendre,Cadre,14.75
Montendre,Profession,8.3
Montendre,Employé,3.55
Montendre,Ouvrier,6.06
Nieul-sur-Mer,Cadre,13.77
Nieul-sur-Mer,Profession,9.09
Nieul-sur-Mer,Employé,1.38
Nieul-sur-Mer,Ouvrier,8.18
Périgny,Cadre,17.0
Périgny,Profession,6.65
Périgny,Employé,7.6
Périgny,Ouvrier,4.54
Pons,Cadre,11.76
Pons,Profession,6.18
Pons,Employé,1.03
Pons,Ouvrier,4.0
Puilboreau,Cadre,12.2
Puilboreau,Profession,11.61
Puilboreau,Employé,4.55
Puilboreau,Ouvrier,8.65
Rivedoux-Plage,Cadre,14.47
Rivedoux-Plage,Profession,18.38
Rivedoux-Plage,Employé,2.75
Rivedoux-Plage,Ouvrier,17.7
Rochefort,Cadre,7.11
Rochefort,Profession,6.67
Rochefort,Employé,1.01
Rochefort,Ouvrier,7.69
La Rochelle,Cadre,13.06
La Rochelle,Profession,4.38
La Rochelle,Employé,1.48
La Rochelle,Ouvrier,7.54
Royan,Cadre,14.48
Royan,Profession,3.94
Royan,Employé,1.02
Royan,Ouvrier,8.2
Saint-Agnant,Cadre,8.47
Saint-Agnant,Profession,9.61
Saint-Agnant,Employé,8.84
Saint-Agnant,Ouvrier,7.91
Saint-Georges-de-Didonne,Cadre,10.13
Saint-Georges-de-Didonne,Profession,8.71
Saint-Georges-de-Didonne,Employé,.5
Saint-Georges-de-Didonne,Ouvrier,7.61
Saint-Georges-des-Coteaux,Cadre,10.05
Saint-Georges-des-Coteaux,Profession,4.56
Saint-Georges-des-Coteaux,Employé,5.41
Saint-Georges-des-Coteaux,Ouvrier,.0
Saint-Georges-d'Oléron,Cadre,7.76
Saint-Georges-d'Oléron,Profession,2.51
Saint-Georges-d'Oléron,Employé,3.06
Saint-Georges-d'Oléron,Ouvrier,16.33
Saint-Jean-d'Angély,Cadre,8.61
Saint-Jean-d'Angély,Profession,4.15
Saint-Jean-d'Angély,Employé,1.03
Saint-Jean-d'Angély,Ouvrier,4.62
Saint-Jean-de-Liversay,Cadre,4.2
Saint-Jean-de-Liversay,Profession,7.01
Saint-Jean-de-Liversay,Employé,6.67
Saint-Jean-de-Liversay,Ouvrier,3.7
Saint-Laurent-de-la-Prée,Cadre,9.68
Saint-Laurent-de-la-Prée,Profession,9.63
Saint-Laurent-de-la-Prée,Employé,1.9
Saint-Laurent-de-la-Prée,Ouvrier,9.62
Sainte-Marie-de-Ré,Cadre,25.72
Sainte-Marie-de-Ré,Profession,21.67
Sainte-Marie-de-Ré,Employé,2.88
Sainte-Marie-de-Ré,Ouvrier,8.76
Saint-Martin-de-Ré,Cadre,3.02
Saint-Martin-de-Ré,Profession,6.77
Saint-Martin-de-Ré,Employé,3.41
Saint-Martin-de-Ré,Ouvrier,7.42
Saint-Médard-d'Aunis,Cadre,11.34
Saint-Médard-d'Aunis,Profession,9.66
Saint-Médard-d'Aunis,Employé,4.11
Saint-Médard-d'Aunis,Ouvrier,9.26
Saint-Palais-sur-Mer,Cadre,20.86
Saint-Palais-sur-Mer,Profession,2.0
Saint-Palais-sur-Mer,Employé,6.16
Saint-Palais-sur-Mer,Ouvrier,5.64
Saint-Pierre-d'Oléron,Cadre,9.83
Saint-Pierre-d'Oléron,Profession,3.15
Saint-Pierre-d'Oléron,Employé,.0
Saint-Pierre-d'Oléron,Ouvrier,7.25
Saint-Rogatien,Cadre,14.29
Saint-Rogatien,Profession,6.71
Saint-Rogatien,Employé,8.77
Saint-Rogatien,Ouvrier,2.68
Saint-Savinien,Cadre,11.63
Saint-Savinien,Profession,1.59
Saint-Savinien,Employé,1.05
Saint-Savinien,Ouvrier,11.52
Sainte-Soulle,Cadre,11.56
Sainte-Soulle,Profession,6.76
Sainte-Soulle,Employé,5.94
Sainte-Soulle,Ouvrier,4.04
Saint-Sulpice-de-Royan,Cadre,6.33
Saint-Sulpice-de-Royan,Profession,12.82
Saint-Sulpice-de-Royan,Employé,2.91
Saint-Sulpice-de-Royan,Ouvrier,9.38
Saint-Xandre,Cadre,12.8
Saint-Xandre,Profession,12.13
Saint-Xandre,Employé,1.85
Saint-Xandre,Ouvrier,6.36
Saintes,Cadre,13.35
Saintes,Profession,5.88
Saintes,Employé,.5
Saintes,Ouvrier,6.88
Salles-sur-Mer,Cadre,17.38
Salles-sur-Mer,Profession,3.68
Salles-sur-Mer,Employé,1.35
Salles-sur-Mer,Ouvrier,5.26
Saujon,Cadre,6.73
Saujon,Profession,5.22
