Periode,Evolution femme,Evolution homme
2012 - 2013,1.1930953070829,1.486082657339299
2013 - 2014,1.264520701949131,1.0980935326838612
2014 - 2015,1.8343701481444603,1.6203953862549385
2015 - 2016,-0.7149638376584173,-0.45427478887611894
